"CUSTOMER_STATE","SELLER_STATE","CUSTOMER_STATE_LAT","CUSTOMER_STATE_LNG","SELLER_STATE_LAT","SELLER_STATE_LNG","TOTAL_FREIGHT_VALUE"
AL,RJ,-9.575753590432976,-36.291428960906735,-22.62313258857956,-43.189515153563526,380.99
AL,RN,-9.575753590432976,-36.291428960906735,-5.864841623635242,-36.236780659852265,15.42
AL,RS,-9.575753590432976,-36.291428960906735,-29.405371844827677,-51.99545799943851,428.71
AL,SC,-9.575753590432976,-36.291428960906735,-27.233756086210168,-49.96532630581995,428.35
AL,SP,-9.575753590432976,-36.291428960906735,-23.191158107928256,-47.05378549380357,11289.91
AM,BA,-3.4629611582302386,-61.351585225624326,-12.989871851119448,-39.615591300124855,44.74
AM,CE,-3.4629611582302386,-61.351585225624326,-4.628164063264693,-39.12452010467055,38.01
AM,GO,-3.4629611582302386,-61.351585225624326,-16.544386780171276,-49.27402937998611,53.13
AM,MA,-3.4629611582302386,-61.351585225624326,-3.9751512906138347,-44.82710896397979,25.21
AM,MG,-3.4629611582302386,-61.351585225624326,-19.768131943331838,-44.25358623321739,724.63
AM,PR,-3.4629611582302386,-61.351585225624326,-24.51761690736683,-51.13921446386092,1408.63
AM,RJ,-3.4629611582302386,-61.351585225624326,-22.62313258857956,-43.189515153563526,336.32
AM,RS,-3.4629611582302386,-61.351585225624326,-29.405371844827677,-51.99545799943851,531.05
AM,SC,-3.4629611582302386,-61.351585225624326,-27.233756086210168,-49.96532630581995,227.71
AM,SP,-3.4629611582302386,-61.351585225624326,-23.191158107928256,-47.05378549380357,4114.13
AP,BA,-0.2302896039963555,-51.34969290152771,-12.989871851119448,-39.615591300124855,71.78
AP,GO,-0.2302896039963555,-51.34969290152771,-16.544386780171276,-49.27402937998611,27.59
AP,MA,-0.2302896039963555,-51.34969290152771,-3.9751512906138347,-44.82710896397979,21.13
AP,MG,-0.2302896039963555,-51.34969290152771,-19.768131943331838,-44.25358623321739,132.02
AP,PE,-0.2302896039963555,-51.34969290152771,-8.252919762977053,-35.94553525314061,63.76
AP,PR,-0.2302896039963555,-51.34969290152771,-24.51761690736683,-51.13921446386092,266.83
AP,RJ,-0.2302896039963555,-51.34969290152771,-22.62313258857956,-43.189515153563526,27.61
AP,RS,-0.2302896039963555,-51.34969290152771,-29.405371844827677,-51.99545799943851,113.29
AP,SC,-0.2302896039963555,-51.34969290152771,-27.233756086210168,-49.96532630581995,232.15
