"DATE","AVG_SCORE"
"2017-08-23",4.1505
"2017-08-24",4.1471
"2017-08-25",4.1818
"2017-08-26",4.1127
"2017-08-27",4.2316
"2017-08-28",4.3226
"2017-08-29",4.3039
"2017-08-30",4.3425
"2017-08-31",4.2250
"2017-09-01",4.0640
"2017-09-02",4.5909
"2017-09-03",4.3495
"2017-09-04",4.2783
"2017-09-05",3.9826
"2017-09-06",4.0000
"2017-09-07",4.2278
"2017-09-08",4.3368
"2017-09-09",4.0789
"2017-09-10",4.2203
"2017-09-11",4.2624
"2017-09-12",3.9766
"2017-09-13",4.1111
"2017-09-14",3.9845
"2017-09-15",4.0513
"2017-09-16",3.9904
"2017-09-17",4.1146
"2017-09-18",3.9500
"2017-09-19",4.1129
"2017-09-20",4.2823
"2017-09-21",4.1271
"2017-09-22",4.2655
"2017-09-23",4.0137
"2017-09-24",4.2021
"2017-09-25",4.2342
"2017-09-26",4.3791
"2017-09-27",4.3419
"2017-09-28",4.2696
"2017-09-29",4.0842
"2017-09-30",4.0549
"2017-10-01",4.0816
"2017-10-02",4.1351
"2017-10-03",4.0756
"2017-10-04",4.3306
"2017-10-05",3.9364
"2017-10-06",4.0275
"2017-10-07",4.0787
"2017-10-08",4.2626
"2017-10-09",4.1188
"2017-10-10",4.1053
"2017-10-11",4.1491
"2017-10-12",3.9386
"2017-10-13",4.0410
"2017-10-14",4.1494
"2017-10-15",4.1556
"2017-10-16",4.1688
"2017-10-17",4.1731
"2017-10-18",4.1973
"2017-10-19",3.8913
"2017-10-20",4.0000
"2017-10-21",4.0976
"2017-10-22",4.1094
"2017-10-23",3.9538
"2017-10-24",4.2439
"2017-10-25",4.3125
"2017-10-26",4.0513
"2017-10-27",4.1809
"2017-10-28",4.1571
"2017-10-29",4.1284
"2017-10-30",4.1140
"2017-10-31",4.0579
"2017-11-01",4.3000
"2017-11-02",3.9082
"2017-11-03",4.0721
"2017-11-04",4.1628
"2017-11-05",4.0734
"2017-11-06",3.9934
"2017-11-07",4.2692
"2017-11-08",4.0543
"2017-11-09",4.1233
"2017-11-10",3.9926
"2017-11-11",4.1840
"2017-11-12",4.1250
"2017-11-13",4.0675
"2017-11-14",3.9067
"2017-11-15",3.9870
"2017-11-16",4.2515
"2017-11-17",3.9091
"2017-11-18",4.0265
"2017-11-19",4.3496
"2017-11-20",3.9146
"2017-11-21",3.8983
"2017-11-22",3.7730
"2017-11-23",3.7569
"2017-11-24",3.7171
"2017-11-25",3.5784
"2017-11-26",3.7864
"2017-11-27",3.7160
"2017-11-28",3.9109
"2017-11-29",3.7154
"2017-11-30",3.9853
"2017-12-01",4.0000
"2017-12-02",3.7607
"2017-12-03",3.7759
"2017-12-04",3.8803
"2017-12-05",4.0047
"2017-12-06",3.9181
"2017-12-07",3.9659
"2017-12-08",3.8795
"2017-12-09",3.9661
"2017-12-10",4.0071
"2017-12-11",3.9327
"2017-12-12",3.8756
"2017-12-13",4.0000
"2017-12-14",3.9195
"2017-12-15",3.9653
"2017-12-16",3.9720
"2017-12-17",4.1553
"2017-12-18",4.0848
"2017-12-19",4.2297
"2017-12-20",4.0075
"2017-12-21",3.9915
"2017-12-22",4.2414
"2017-12-23",3.8861
"2017-12-24",3.8750
"2017-12-25",4.2344
"2017-12-26",4.3154
"2017-12-27",4.2593
"2017-12-28",4.1282
"2017-12-29",4.2342
"2017-12-30",4.0411
"2017-12-31",4.1538
"2018-01-01",4.0806
"2018-01-02",4.0745
"2018-01-03",4.0241
"2018-01-04",4.1357
"2018-01-05",3.9771
"2018-01-06",3.9153
"2018-01-07",4.1731
"2018-01-08",4.0129
"2018-01-09",4.2211
"2018-01-10",4.0135
"2018-01-11",4.1503
"2018-01-12",3.8802
"2018-01-13",4.0387
"2018-01-14",3.9485
"2018-01-15",4.1138
"2018-01-16",4.0456
"2018-01-17",4.1135
"2018-01-18",4.0000
"2018-01-19",3.8427
"2018-01-20",3.9928
"2018-01-21",3.7702
"2018-01-22",3.8764
"2018-01-23",4.0773
"2018-01-24",3.9219
"2018-01-25",3.9632
"2018-01-26",3.9553
"2018-01-27",3.9925
"2018-01-28",4.1707
"2018-01-29",3.9507
"2018-01-30",3.8483
"2018-01-31",4.1549
"2018-02-01",4.1746
"2018-02-02",3.7267
"2018-02-03",4.2215
"2018-02-04",4.1220
"2018-02-05",4.0047
"2018-02-06",3.8969
"2018-02-07",4.0561
"2018-02-08",3.9669
"2018-02-09",3.9535
"2018-02-10",3.9071
"2018-02-11",3.5758
"2018-02-12",3.6358
"2018-02-13",3.8547
"2018-02-14",4.1308
"2018-02-15",3.7813
"2018-02-16",3.6923
"2018-02-17",3.7707
"2018-02-18",3.7799
"2018-02-19",3.9167
"2018-02-20",3.8502
"2018-02-21",3.7255
"2018-02-22",3.5091
"2018-02-23",3.7692
"2018-02-24",3.6533
"2018-02-25",3.4627
"2018-02-26",3.4638
"2018-02-27",3.4095
